# Ground-truth labels for CHK002 (unused dependency) / CHK003 (missing
# dependency) findings on the §17 OSS validation set.
#
# Tab-separated columns (lines starting with # and blank lines are ignored):
#   slug          project slug from scripts/oss-clones.manifest
#   code          CHK002 | CHK003
#   target        stable JSON target field (was distribution for dep rules)
#   verdict       fp | tp | deferred
#   bucket        root-cause bucket for CHK003 fp; use - otherwise
#   note          short justification (how it was verified)
#
# Bucket vocabulary (CHK003 fp): map-gap | workspace-boundary | optional-import |
# dev-context | transitive-policy | metadata-gap
#
# scripts/oss-metrics.sh matches findings on (slug, code, target).
# Unlabeled findings are unknown; unknown and deferred block CHK002 FP gate.
#
# slug	code	target	verdict	bucket	note
urllib3	CHK002	h2	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	httpx	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	hypercorn	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	idna	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	pyopenssl	fp	-	runtime dep used via import name != distribution name (package-module-map gap)
urllib3	CHK002	pysocks	fp	-	runtime dep used via import name != distribution name (package-module-map gap)
urllib3	CHK002	pytest-memray	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
urllib3	CHK002	pytest-socket	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
urllib3	CHK002	pytest-timeout	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
urllib3	CHK002	quart	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	quart-trio	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	towncrier	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
urllib3	CHK002	trio	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	trustme	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
urllib3	CHK002	zstandard	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
jinja	CHK002	babel	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
httpx	CHK002	build	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	coverage	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	mkautodoc	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	mkdocs	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	mkdocs-material	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	mypy	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	ruff	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	trio-typing	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
httpx	CHK002	twine	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	build	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	coverage	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	importlib-metadata	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
starlette	CHK002	mkautodoc	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	mkdocs	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	mkdocs-material	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	mypy	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	python-multipart	fp	-	runtime dep used via import name != distribution name (package-module-map gap)
starlette	CHK002	ruff	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	twine	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	types-contextvars	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
starlette	CHK002	types-dataclasses	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	build	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	colorama	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
uvicorn	CHK002	coverage	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	coverage-conditional-plugin	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	mkdocs	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	mkdocs-material	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	mypy	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	ruff	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
uvicorn	CHK002	twine	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	attrs	fp	-	self-referential extra (project depends on itself with extras); always used
attrs	CHK002	cloudpickle	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	cogapp	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	coverage	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	furo	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	mypy	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	myst-parser	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	pre-commit	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	pytest-codspeed	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	pytest-mypy-plugins	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	pytest-xdist	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	sphinx	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	sphinx-notfound-page	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	sphinxcontrib-towncrier	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
attrs	CHK002	towncrier	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
anyio	CHK002	anyio	fp	-	self-referential extra (project depends on itself with extras); always used
anyio	CHK002	coverage	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
anyio	CHK002	hypothesis	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
anyio	CHK002	packaging	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
anyio	CHK002	sphinx	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
anyio	CHK002	sphinx-autodoc-typehints	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
anyio	CHK002	sphinx-rtd-theme	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
anyio	CHK002	trio	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
python-dotenv	CHK002	black	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
python-dotenv	CHK002	bumpversion	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
python-dotenv	CHK002	flake8	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
python-dotenv	CHK002	ipython	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
python-dotenv	CHK002	pytest-cov	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
python-dotenv	CHK002	tox	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
python-dotenv	CHK002	twine	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
python-dotenv	CHK002	wheel	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
tenacity	CHK002	reno	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
tenacity	CHK002	sphinx	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	cogapp	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	furo	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	mypy	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	myst-parser	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	sphinx	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	sphinx-notfound-page	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	sphinxcontrib-mermaid	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	sphinxext-opengraph	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
structlog	CHK002	structlog	fp	-	self-referential extra (project depends on itself with extras); always used
pluggy	CHK002	pre-commit	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
pluggy	CHK002	pytest-benchmark	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
pluggy	CHK002	tox	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	cairosvg	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	coverage	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	mdx-include	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	mkdocs-macros-plugin	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	mkdocs-material	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	mkdocs-redirects	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	mypy	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	pillow	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	pre-commit	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	pytest-cov	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	pytest-sugar	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	pytest-xdist	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
typer	CHK002	pyyaml	fp	-	runtime dep used via import name != distribution name (package-module-map gap)
typer	CHK002	ruff	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
black	CHK002	ipython	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	black	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	cairosvg	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	coverage	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	databases	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
fastapi	CHK002	flask	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
fastapi	CHK002	griffe-typingdoc	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	itsdangerous	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
fastapi	CHK002	jieba	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
fastapi	CHK002	mdx-include	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	mkdocs-macros-plugin	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	mkdocs-material	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	mkdocs-redirects	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	mkdocstrings	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	mypy	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	passlib	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
fastapi	CHK002	pillow	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	pre-commit	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	pydantic-extra-types	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
fastapi	CHK002	pyjwt	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
fastapi	CHK002	python-multipart	fp	-	runtime dep used via import name != distribution name (package-module-map gap)
fastapi	CHK002	ruff	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
fastapi	CHK002	uvicorn	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
djangorestframework	CHK002	attrs	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
djangorestframework	CHK002	backports-zoneinfo	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
djangorestframework	CHK002	django-filter	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
djangorestframework	CHK002	django-guardian	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
djangorestframework	CHK002	importlib-metadata	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
djangorestframework	CHK002	mkdocs	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
djangorestframework	CHK002	psycopg2-binary	fp	-	runtime dep used via import name != distribution name (package-module-map gap)
djangorestframework	CHK002	pylinkvalidator	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
djangorestframework	CHK002	pytest-cov	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
djangorestframework	CHK002	pytest-django	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
djangorestframework	CHK002	transifex-client	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
djangorestframework	CHK002	twine	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
djangorestframework	CHK002	wheel	fp	-	dev/test/docs tool used via CLI/CI, not imported (binary+config usage not detected)
django	CHK002	argon2-cffi	fp	-	runtime dep used via import name != distribution name (package-module-map gap)
django	CHK002	tzdata	fp	-	optional/conditional/platform-guarded runtime import not traced, or PDM/Hatch group unsupported in v0.1
#
# --- Recall sentinels (in-repo fixtures from scripts/oss-recall.manifest) ---
# These are genuinely-unused dependencies that chokkin MUST keep flagging. They
# give the recall gate true positives so over-suppression (reporting nothing)
# fails the run instead of passing trivially.
unused_boto3	CHK002	boto3	tp	-	recall sentinel: declared runtime dep with no import anywhere; must stay detected
optional_try_import	CHK002	requests	tp	-	recall sentinel: unused runtime dep coexisting with a correctly-suppressed optional import — guards 4.C against over-suppression
missing_yaml	CHK003	src/acme/main.py:yaml	tp	-	recall sentinel: undeclared pyyaml import must stay detected as CHK003

# --- CHK003 OSS corpus (auto-generated from target/oss-metrics/findings.tsv) ---
# Regenerate: python3 scripts/generate-chk003-labels.py target/oss-metrics/findings.tsv
anyio	CHK003	src/anyio/_core/_fileio.py:_typeshed	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	src/anyio/pytest_plugin.py:_pytest.outcomes	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/conftest.py:_pytest.fixtures	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/streams/test_file.py:_pytest.fixtures	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/streams/test_file.py:_pytest.tmpdir	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_fileio.py:_pytest.tmpdir	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_from_thread.py:_pytest.logging	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_pytest_plugin.py:_pytest.logging	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_pytest_plugin.py:_pytest.pytester	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_sockets.py:_pytest.fixtures	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_sockets.py:_pytest.logging	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_sockets.py:_pytest.monkeypatch	fp	dev-context	auto: test/docs/typing import context
anyio	CHK003	tests/test_sockets.py:_pytest.tmpdir	fp	dev-context	auto: test/docs/typing import context
attrs	CHK003	src/attr/_compat.py:typing_extensions	fp	optional-import	auto: optional try-import not treated as hard missing dep
black	CHK003	scripts/check_pre_commit_rev_in_example.py:bs4	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	scripts/check_pre_commit_rev_in_example.py:yaml	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	scripts/check_version_in_basics_example.py:bs4	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	scripts/diff_shades_gha_helper.py:diff_shades	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	scripts/diff_shades_gha_helper.py:urllib3	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	scripts/fuzz.py:hypothesis	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	scripts/fuzz.py:hypothesis	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	scripts/make_width_table.py:wcwidth	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	src/black/__init__.py:_black_version	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	src/black/cache.py:_black_version	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	src/blackd/__init__.py:_black_version	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
black	CHK003	src/blackd/__init__.py:multidict	fp	optional-import	auto: optional try-import not treated as hard missing dep
black	CHK003	tests/conftest.py:pytest	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_black.py:pytest	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_blackd.py:pytest	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_docs.py:pytest	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_format.py:pytest	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_ipynb.py:_pytest.monkeypatch	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_ipynb.py:pytest	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_no_ipynb.py:pytest	fp	dev-context	auto: test/docs/typing import context
black	CHK003	tests/test_ranges.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	src/click/core.py:typing_extensions	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
click	CHK003	src/click/decorators.py:typing_extensions	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
click	CHK003	src/click/globals.py:typing_extensions	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
click	CHK003	src/click/parser.py:typing_extensions	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
click	CHK003	src/click/types.py:typing_extensions	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
click	CHK003	src/click/utils.py:typing_extensions	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
click	CHK003	tests/conftest.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_arguments.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_basic.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_chain.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_commands.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_context.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_info_dict.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_options.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_parser.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_shell_completion.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_termui.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_testing.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_types.py:pytest	fp	dev-context	auto: test/docs/typing import context
click	CHK003	tests/test_utils.py:pytest	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.common.by	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support.ui	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support.ui	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admin/tests.py:selenium.webdriver.support.wait	fp	dev-context	auto: test/docs/typing import context
django	CHK003	django/contrib/admindocs/utils.py:docutils.core	fp	optional-import	auto: optional try-import not treated as hard missing dep
django	CHK003	django/contrib/admindocs/utils.py:docutils.nodes	fp	optional-import	auto: optional try-import not treated as hard missing dep
django	CHK003	django/contrib/admindocs/utils.py:docutils.parsers.rst.roles	fp	optional-import	auto: optional try-import not treated as hard missing dep
django	CHK003	django/contrib/gis/db/backends/postgis/adapter.py:psycopg2.extensions	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
django	CHK003	django/contrib/gis/shortcuts.py:numpy	fp	optional-import	auto: optional try-import not treated as hard missing dep
django	CHK003	django/contrib/postgres/signals.py:psycopg.types	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
django	CHK003	django/contrib/postgres/signals.py:psycopg2	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
django	CHK003	django/contrib/postgres/signals.py:psycopg2.extras	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
django	CHK003	django/core/files/images.py:PIL	fp	transitive-policy	auto: no lockfile — declaration/transitive boundary
django	CHK003	django/core/management/color.py:colorama	fp	optional-import	auto: optional try-import not treated as hard missing dep
django	CHK003	django/core/validators.py:PIL	fp	optional-import	auto: optional try-import not treated as hard missing dep
